Importance,Level,Code,Occupation
44,43,23-1022.00,"Arbitrators, Mediators, and Conciliators"
44,42,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
44,42,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
44,41,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
44,41,17-3029.05,Industrial Engineering Technologists
44,41,13-1075.00,Labor Relations Specialists
44,41,43-5061.00,"Production, Planning, and Expediting Clerks"
44,40,13-1074.00,Farm Labor Contractors
44,39,35-3022.01,Baristas
44,39,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
44,37,51-9031.00,"Cutters and Trimmers, Hand"
44,37,51-9198.00,Helpers--Production Workers
44,37,15-1142.00,Network and Computer Systems Administrators
44,37,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
44,36,47-4021.00,Elevator Installers and Repairers
44,35,53-7081.00,Refuse and Recyclable Material Collectors
44,33,13-2072.00,Loan Officers
43,52,11-3051.04,Biomass Power Plant Managers
43,51,33-3021.02,Police Identification and Records Officers
43,42,25-1112.00,"Law Teachers, Postsecondary"
43,42,47-2181.00,Roofers
43,40,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
43,39,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
43,37,49-9011.00,Mechanical Door Repairers
43,36,51-2091.00,Fiberglass Laminators and Fabricators
43,36,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
43,36,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
43,36,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
43,35,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
43,35,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
43,33,29-2071.00,Medical Records and Health Information Technicians
43,30,43-4021.00,Correspondence Clerks
43,30,51-4071.00,Foundry Mold and Coremakers
43,29,27-2012.03,Program Directors
42,46,49-3023.01,Automotive Master Mechanics
42,44,53-6031.00,Automotive and Watercraft Service Attendants
42,44,51-4052.00,"Pourers and Casters, Metal"
42,43,27-2021.00,Athletes and Sports Competitors
42,43,35-2015.00,"Cooks, Short Order"
42,42,51-8099.03,Biomass Plant Technicians
42,40,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
42,38,11-9039.01,Distance Learning Coordinators
42,38,13-1151.00,Training and Development Specialists
42,37,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
42,37,13-1041.02,Licensing Examiners and Inspectors
42,36,19-4011.01,Agricultural Technicians
42,36,47-2051.00,Cement Masons and Concrete Finishers
42,36,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
