Importance,Level,Code,Occupation
77,72,19-2032.00,Materials Scientists
77,71,13-2031.00,Budget Analysts
77,71,17-3029.11,Nanotechnology Engineering Technologists
77,71,41-3031.02,"Sales Agents, Financial Services"
77,70,27-3043.04,Copy Writers
77,70,33-2011.02,Forest Firefighters
77,70,29-1069.05,Nuclear Medicine Physicians
77,70,11-3051.01,Quality Control Systems Managers
77,69,27-4032.00,Film and Video Editors
77,67,29-2032.00,Diagnostic Medical Sonographers
77,67,29-2041.00,Emergency Medical Technicians and Paramedics
77,67,29-1126.00,Respiratory Therapists
77,66,47-4099.02,Solar Thermal Installers and Technicians
77,66,17-1022.00,Surveyors
77,65,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
77,65,29-2091.00,Orthotists and Prosthetists
77,65,53-7064.00,"Packers and Packagers, Hand"
77,64,51-8099.04,Hydroelectric Plant Technicians
77,64,29-2099.05,Ophthalmic Medical Technologists
77,64,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
77,63,47-4041.00,Hazardous Materials Removal Workers
77,63,27-4013.00,Radio Operators
77,63,21-1093.00,Social and Human Service Assistants
77,63,27-4014.00,Sound Engineering Technicians
77,61,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
77,61,53-7032.00,Excavating and Loading Machine and Dragline Operators
77,60,17-1021.00,Cartographers and Photogrammetrists
77,60,29-2051.00,Dietetic Technicians
77,59,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
77,59,49-2098.00,Security and Fire Alarm Systems Installers
77,59,53-7073.00,Wellhead Pumpers
77,57,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
77,56,27-3011.00,Radio and Television Announcers
77,51,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
76,72,25-4012.00,Curators
76,72,17-2141.01,Fuel Cell Engineers
76,71,19-2041.02,Environmental Restoration Planners
76,71,19-2099.01,Remote Sensing Scientists and Technologists
76,71,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
76,69,13-1041.01,Environmental Compliance Inspectors
76,69,29-1069.06,Ophthalmologists
76,68,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
76,67,17-3029.04,Electronics Engineering Technologists
