zip_code,latitude,longitude,population_density,employment_density,plant_size,employment,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
02081,42.144402,-71.254402,398,180,9.5,5133,23,28,10,39,48,21
02090,42.214802,-71.210403,519,545,10.5,4591,29,29,6,45,50,20
02093,42.061699,-71.3396,195,128,13.9,5496,21,51,4,59,63,46
02108,42.357601,-71.068398,10780,71549,17.1,18726,35,31,2,50,52,20
02109,42.360001,-71.054497,8386,89498,25.799999,34839,38,27,2,50,52,15
02110,42.357601,-71.051399,3612,138884,31.9,57101,36,28,2,49,51,14
02111,42.3503,-71.062897,11020,50428,19,18391,33,28,2,47,49,20
02113,42.3657,-71.056,26512,11115,12.4,1976,13,43,3,48,51,40
02114,42.361099,-71.068199,10307,20785,14.4,9028,30,35,3,51,53,25
02115,42.342701,-71.092201,15506,18725,32.900002,18911,37,37,1,47,49,12
02116,42.349201,-71.076797,12635,42008,27.9,53305,34,31,2,50,52,20
02117,42.358501,-71.057999,,,6.3000002,19,,,,,,
02118,42.336201,-71.072899,9295,5996,14.5,10694,21,28,5,39,44,21
02119,42.3251,-71.095299,6128,2018,14.3,5644,22,32,5,40,45,21
02120,42.3307,-71.091202,9443,2348,12.4,1688,21,36,3,43,45,24
02121,42.297298,-71.074501,5747,498,8.3999996,1385,23,37,7,45,51,26
02122,42.297298,-71.074501,4461,1765,10,4692,21,38,8,47,54,30
02124,42.291801,-71.071701,6144,990,9.8999996,4943,25,38,4,46,51,25
02125,42.297298,-71.074501,6028,2174,10.8,4713,24,37,6,47,52,27
02126,42.273899,-71.093903,4740,483,8.6000004,1657,21,44,6,51,56,34
02127,42.334702,-71.037498,6079,2684,12.7,8081,25,31,9,45,53,23
02128,42.364201,-71.025703,3225,2017,23.200001,17014,12,40,12,48,59,37
02129,42.3778,-71.062698,4707,4120,12,5591,30,25,7,43,50,17
02130,42.312599,-71.111504,4099,1473,10.4,5904,23,33,4,42,45,22
02131,42.2836,-71.129501,4442,861,8.5,3601,21,37,6,45,51,30
02132,42.278702,-71.158897,2189,601,9.6999998,4427,24,39,6,47,52,28
02133,42.358398,-71.059799,,,6.3000002,25,,,,,,
02134,42.3535,-71.132896,6259,2844,10.9,5332,22,37,6,45,51,27
02135,42.347801,-71.156601,6269,2709,11.3,7081,26,36,5,46,51,24
02136,42.254002,-71.126099,2396,516,9.1000004,3685,23,31,11,41,51,24
02138,42.376999,-71.125603,5116,3379,18.9,19283,32,34,2,49,51,21
02139,42.3647,-71.104202,9017,8434,24.4,25522,38,26,2,51,53,19
02140,42.3932,-71.133797,5893,3826,15.4,6716,37,29,2,51,53,20
02141,42.368698,-71.083603,7186,7750,14.6,5678,30,35,4,50,53,26
02142,42.362,-71.083,4386,36987,24.5,12106,42,22,2,51,53,16
02143,42.3829,-71.102798,6156,3284,10.6,6023,22,30,7,41,48,24
02144,42.400299,-71.122101,8526,2092,10.6,3949,26,34,3,49,51,27
02145,42.390701,-71.092903,7037,1917,9.8000002,3729,20,38,6,47,53,32
02148,42.4291,-71.060501,4555,1113,10.7,9403,24,26,13,38,48,19
02149,42.411201,-71.051399,4683,1297,9.8999996,6985,18,30,11,39,50,24
02150,42.396301,-71.032501,6142,2574,12.1,7873,21,27,10,37,46,20
02151,42.413799,-71.005203,3411,658,8.3000002,6179,20,34,11,43,53,28
02152,42.376301,-70.980003,3425,387,6.5999999,1581,24,34,8,44,51,26
02153,42.4184,-71.106201,,,18.299999,73,,,,,,
